Year,avr_temp(℃),avr_lowest_temp(℃),avr_highest_temp(℃)
1994,13,7.7,18.9
1995,11.7,6.6,17.7
1996,11.8,6.8,17.6
1997,12.4,7.2,18.4
1998,13.2,8.6,18.7
1999,12.5,7.6,18.1
2000,12.2,7.3,17.9
2001,12.4,7.4,18.2
2002,12.4,7.5,17.9
2003,12.2,7.7,17.5
2004,12.9,7.9,18.8
2005,12.1,7.2,17.6
2006,12.6,7.9,18.1
2007,13,8.4,18.5
2008,12.7,7.8,18.4
2009,12.7,7.8,18.4
2010,12.4,7.7,17.7
2011,12.1,7.4,17.5
2012,12.1,7.4,17.4
2013,12.6,7.8,18.1
2014,12.8,8,18.4
2015,13.1,8.3,18.7
2016,13.4,8.7,18.8
2017,12.8,7.7,18.5
2018,12.8,7.8,18.4
2019,13.3,8.3,19
2020,13,8.4,18.4
2021,13.3,8.6,18.8
2022,12.9,8,18.6